Year,Location,Area,Rainfall,Temperature,Soil,Irrigation,yeilds,Humidity,Crops,price,calculation,res4
2004,Mangalore,13283,2903.1,27.0,Laterite soil,Drip,27170.0,57.5,Coconut,4847,3.5679057784320944,40.90943310999022
2004,Mangalore,12885,2996.6,27.0,Laterite soil,Drip,23456.0,56.0,Coconut,2644,2.2544338335607095,36.40822662010089
2004,Mangalore,11841,3522.8,27.2,Laterite soil,Drip,23960.0,58.0,Coconut,2134,1.7813021702838063,40.46955493623849
2004,Mangalore,10922,3729.8,27.0,Laterite soil,Drip,30362.0,54.0,Coconut,1516,0.9986166919175286,55.597875846914484
2004,Mangalore,10723,2746.2,27.0,Laterite soil,Drip,34153.0,51.0,Coconut,1493,0.8743009398881505,63.70045696167117
2004,Mangalore,10910,3360.0,27.2,Laterite soil,Drip,22966.0,60.0,Coconut,637,0.5547330836889315,42.10082493125573
2004,Mangalore,10912,3605.4,27.1,Laterite soil,Drip,24184.0,54.0,Coconut,761,0.6293417135296063,44.32551319648094
2004,Mangalore,10505,3512.4,26.8,Laterite soil,Drip,23099.0,55.5,Coconut,646,0.5593315727953592,43.97715373631604
2004,Mangalore,10318,3296.0,37.0,Laterite soil,Drip,22594.0,55.0,Coconut,4847,4.2905196069753035,43.795309168443495
2004,Mangalore,9283,3550.0,38.0,Laterite soil,Drip,21400.0,52.5,Coconut,2644,2.4710280373831774,46.10578476785521
2004,Mangalore,8982,3654.0,39.0,Laterite soil,Drip,19578.0,57.5,Coconut,2134,2.179997956890387,43.5938543754175
2004,Mangalore,8239,233.0,40.0,Laterite soil,Drip,18951.0,56.0,Coconut,1516,1.5999155717376392,46.0031557227819
2004,Mangalore,6949,234.0,41.0,Laterite soil,Drip,15362.0,58.0,Coconut,1493,1.9437573232651997,44.21355590732479
2004,Mangalore,6824,3105.0,42.0,Laterite soil,Drip,17231.0,54.0,Coconut,637,0.7393650977888688,50.50117233294255
2004,Mangalore,6441,236.0,43.0,Laterite soil,Drip,17690.0,51.0,Coconut,761,0.8603730921424534,54.929358795218135
2004,Mangalore,4877,2903.1,27.0,Laterite soil,Basin,8700.0,57.0,Coconut,234581,539.2666666666667,35.67767069920033
2004,Mangalore,5019,2996.6,27.0,Laterite soil,Basin,8954.0,57.0,Coconut,200000,446.7277194549922,35.680414425184296
2004,Mangalore,5294,3522.8,27.2,Laterite soil,Basin,44313.0,56.6,Coconut,216396,97.667050301266,167.40838685304118
2004,Mangalore,7028,3729.8,27.0,Laterite soil,Basin,86311.0,59.5,Coconut,203317,47.11265076293867,245.62037564029595
2004,Mangalore,7714,2746.2,27.0,Laterite soil,Basin,60751.0,53.5,Coconut,238542,78.53105298678211,157.5084262380088
2004,Mangalore,1,3360.0,27.2,Laterite soil,Basin,3.0,57.0,Coconut,234779,1565193.3333333335,60.0
2004,Mangalore,15,3605.4,27.1,Laterite soil,Basin,54.0,55.0,Coconut,249978,92584.44444444445,72.0
2004,Mangalore,6,3512.4,26.8,Laterite soil,Basin,19.0,58.0,Coconut,51239,53935.789473684206,63.33333333333333
2004,Mangalore,17,3296.0,37.0,Laterite soil,Basin,50.0,50.0,Coconut,44235,17694.0,58.82352941176471
2004,Mangalore,21,3550.0,38.0,Laterite soil,Basin,44.0,52.0,Coconut,45186,20539.09090909091,41.904761904761905
2004,Mangalore,15,3654.0,39.0,Laterite soil,Basin,56.0,57.0,Coconut,57259,20449.64285714286,74.66666666666667
2004,Mangalore,1,233.0,40.0,Laterite soil,Basin,3.0,57.0,Coconut,64409,429393.3333333334,60.0
2004,Mangalore,14179,234.0,41.0,Laterite soil,Basin,60528.0,56.6,Coconut,43311,14.311062648691514,85.37696593553846
2004,Mangalore,14876,3105.0,42.0,Laterite soil,Basin,63504.0,59.5,Coconut,45608,14.363819601914841,85.37778972842162
2004,Mangalore,16224,2903.1,27.0,Laterite soil,Spray,130132.0,52.5,Coconut,200000,30.738019856760825,160.41913214990137
2004,Mangalore,17587,2996.6,27.0,Laterite soil,Spray,172475.0,57.5,Coconut,216396,25.09302797506885,196.13919372263604
2004,Mangalore,3147,3522.8,27.2,Laterite soil,Spray,2783.0,56.0,Coconut,203317,1461.1354653251885,17.686685732443596
2004,Mangalore,1298,3729.8,27.0,Laterite soil,Spray,975.0,58.0,Coconut,238542,4893.169230769231,15.0231124807396
2004,Mangalore,917,2746.2,27.0,Laterite soil,Spray,806.0,54.0,Coconut,234779,5825.781637717122,17.579062159214832
2004,Mangalore,391,3360.0,27.2,Laterite soil,Spray,395.0,51.0,Coconut,249978,12657.11392405063,20.204603580562658
2004,Mangalore,111,3605.4,27.1,Laterite soil,Spray,121.0,60.0,Coconut,24848,4107.107438016529,21.8018018018018
2004,Mangalore,2688,3512.4,26.8,Laterite soil,Spray,3961.0,54.0,Coconut,234581,1184.4534208533198,29.47172619047619
2004,Mangalore,1998,3296.0,37.0,Laterite soil,Spray,3138.0,55.5,Coconut,200000,1274.6972594008923,31.41141141141141
2004,Mangalore,2035,3550.0,38.0,Laterite soil,Spray,4015.0,55.0,Coconut,216396,1077.9377334993774,39.45945945945946
2004,Mangalore,2090,3654.0,39.0,Laterite soil,Spray,4479.0,52.5,Coconut,203317,907.8678276400983,42.86124401913875
2004,Mangalore,1865,233.0,40.0,Laterite soil,Spray,2821.0,57.5,Coconut,238542,1691.187522155264,30.25201072386059
2004,Mangalore,1468,234.0,41.0,Laterite soil,Spray,393.0,56.0,Coconut,4847,246.66666666666669,5.354223433242506
2004,Mangalore,177,3105.0,42.0,Laterite soil,Spray,52.0,58.0,Coconut,2644,1016.9230769230769,5.875706214689266
2004,Mangalore,201,236.0,43.0,Laterite soil,Spray,61.0,54.0,Coconut,2134,699.672131147541,6.069651741293533
2014,Mangalore,243,3654.0,129.0,Laterite soil,Drip,62.0,52.0,Cocoa,238542,76949.03225806452,5.102880658436214
2017,Mangalore,74,3105.0,132.0,Laterite soil,Drip,25.0,57.0,Cocoa,234779,187823.2,6.756756756756756
